"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2","review-details_location__E_Ine","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ","review-details_responseLogo__9tv_M src","review-details_employerName__MLS_I","review-details_employerDate__XHTEv","review-details_isCollapsed__Bsg_9 3","expand-button_ExpandButton__FlBlZ 2"
"1.0","7 Jul 2024","Jeevansathi Tech Review","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW88914903.htm","Senior software engineer","Current employee, more than 5 years","","","Noida","None at all, find a new company","Bad Company,
Poor management
No value for employee
raise and bonus are on random basis, totally on how close you are to manager","Show more","https://media.glassdoor.com/sql/337306/info-edge-squareLogo-1671695672516.png","Info Edge Response","3w","Thank you for sharing your experience at Infoedge.
 
We deeply regret that your time with us didn't meet your expectations. Your feedback is invaluable, and we take it seriously. We are committed to creating a positive workplace and would appreciate the chance to learn more about your concerns.
 
If you're open to it, please connect with our HR department at kumar.prachi@Naukri.com. We're dedicated to addressing your concerns and using your insights to make meaningful improvements.
 
Thank you for helping us grow through your feedback.","Show more"
"4.0","25 Jun 2024","Inside sales","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW88576175.htm","Manager","Former employee, more than 5 years","","","Noida","Salary on time
Same month incentives","Work life balance
Rosters policy","Show more","","","","",""
"3.0","23 Jun 2024","Perspective","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW88507349.htm","3d designer","Former employee, more than 5 years","Salary on time and not great environment","Appraisal cycle should be on time","Noida","","","","","","","",""
"5.0","17 Jun 2024","Great work life balance and learning opportunities","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW88327804.htm","Product marketing manager","Current employee","Great work life balance and learning opportunities","None to mention as of now.","Noida","","","","","","","",""
"3.0","23 May 2024","Data quality in Spam&Fraud Control","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW87592495.htm","Associate senior executive","Current employee, less than 1 year","","","Noida","Great culture, Balanced lifestyle,Good environment, Average salary,Bonus is ok.","Politics is much there,Dont give leaves, Take lot of work,Appraisals is low,Self development activities is low.","Show more","https://media.glassdoor.com/sql/337306/info-edge-squareLogo-1671695672516.png","Info Edge Response","4mo","Thank you for sharing your experience at Infoedge.
 
We deeply regret that your time with us didn't meet your expectations. Your feedback is invaluable, and we take it seriously. We are committed to creating a positive workplace and would appreciate the chance to learn more about your concerns.
 
If you're open to it, please connect with our HR department at kumar.prachi@Naukri.com. We're dedicated to addressing your concerns and using your insights to make meaningful improvements.
 
Thank you for helping us grow through your feedback.","Show more"
"2.0","21 Jun 2024","Bad culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW88473589.htm","Senior software engineer","Current employee","","","Noida","Looks like a sarkaari naukri but with high pressure","Over pressure everything, bad work culture","Show more","https://media.glassdoor.com/sql/337306/info-edge-squareLogo-1671695672516.png","Info Edge Response","3mo","Thank you for sharing your experience at Infoedge.
 
We deeply regret that your time with us didn't meet your expectations. Your feedback is invaluable, and we take it seriously. We are committed to creating a positive workplace and would appreciate the chance to learn more about your concerns.
 
If you're open to it, please connect with our HR department at kumar.prachi@Naukri.com. We're dedicated to addressing your concerns and using your insights to make meaningful improvements.
 
Thank you for helping us grow through your feedback.","Show more"
"3.0","14 Jun 2024","Okayish team","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW88260521.htm","Data scientist","Current employee, more than 3 years","","","Noida","good projects to learn , nlp oriented work","lot of politics in office","Show more","https://media.glassdoor.com/sql/337306/info-edge-squareLogo-1671695672516.png","Info Edge Response","3mo","Thank you for sharing your experience at Infoedge.
 
We deeply regret that your time with us didn't meet your expectations. Your feedback is invaluable, and we take it seriously. We are committed to creating a positive workplace and would appreciate the chance to learn more about your concerns.
 
If you're open to it, please connect with our HR department at kumar.prachi@Naukri.com. We're dedicated to addressing your concerns and using your insights to make meaningful improvements.
 
Thank you for helping us grow through your feedback.","Show more"
"2.0","17 Jun 2024","Worst culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW88310794.htm","Senior sales executive","Current employee, more than 3 years","","","Noida","Work here if you want a Brand name","Don't work here if you want peaceful mindset and life.","Show more","https://media.glassdoor.com/sql/337306/info-edge-squareLogo-1671695672516.png","Info Edge Response","3mo","Thank you for sharing your experience at Infoedge.
 
We deeply regret that your time with us didn't meet your expectations. Your feedback is invaluable, and we take it seriously. We are committed to creating a positive workplace and would appreciate the chance to learn more about your concerns.
 
If you're open to it, please connect with our HR department at kumar.prachi@Naukri.com. We're dedicated to addressing your concerns and using your insights to make meaningful improvements.
 
Thank you for helping us grow through your feedback.","Show more"
"4.0","17 Jun 2024","Good company to start as a fresher","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW88311342.htm","Deputy manager sales","Current employee, more than 1 year","Support from seniors, good career opportunities","Nothing comes to mind now","Bengaluru","","","","","","","",""
"3.0","19 Jun 2024","Info Edge Review","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW88417202.htm","Lead engineer","Current employee, more than 3 years","","","Noida","Work Life Balance, Good Pay","Rigid HR Policies, Less Leaves,No WFH option","Show more","https://media.glassdoor.com/sql/337306/info-edge-squareLogo-1671695672516.png","Info Edge Response","3mo","Thank you for sharing your experience at Infoedge.
 
We deeply regret that your time with us didn't meet your expectations. Your feedback is invaluable, and we take it seriously. We are committed to creating a positive workplace and would appreciate the chance to learn more about your concerns.
 
If you're open to it, please connect with our HR department at kumar.prachi@Naukri.com. We're dedicated to addressing your concerns and using your insights to make meaningful improvements.
 
Thank you for helping us grow through your feedback.","Show more"
"1.0","5 Jul 2024","Bad company","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW88878737.htm","Senior software engineer","Current employee, more than 1 year","","","Noida","Job security because they don't pay you that much to make you insecure","Bad salary no appraisals nothing for the employees","Show more","https://media.glassdoor.com/sql/337306/info-edge-squareLogo-1671695672516.png","Info Edge Response","3mo","Thank you for sharing your experience at Infoedge.
 
We deeply regret that your time with us didn't meet your expectations. Your feedback is invaluable, and we take it seriously. We are committed to creating a positive workplace and would appreciate the chance to learn more about your concerns.
 
If you're open to it, please connect with our HR department at kumar.prachi@Naukri.com. We're dedicated to addressing your concerns and using your insights to make meaningful improvements.
 
Thank you for helping us grow through your feedback.","Show more"
"5.0","12 Jun 2024","good place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW88190460.htm","Lead software development engineer in test (sdet)","Current employee","good place to work here","good salary but work life balance is not up to the mark","Noida","","","","","","","",""
"2.0","11 Jun 2024","Worst management ever","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW88142192.htm","Corporate sales","Former employee, more than 3 years","","","Calcutta","Incentives are good 
Good stepping stone","Management treats you like their personal assistants. 
No growth after 4 years. 
Salary hike negligible","Show more","https://media.glassdoor.com/sql/337306/info-edge-squareLogo-1671695672516.png","Info Edge Response","3mo","Thank you for sharing your experience at Infoedge.
 
We deeply regret that your time with us didn't meet your expectations. Your feedback is invaluable, and we take it seriously. We are committed to creating a positive workplace and would appreciate the chance to learn more about your concerns.
 
If you're open to it, please connect with our HR department at kumar.prachi@Naukri.com. We're dedicated to addressing your concerns and using your insights to make meaningful improvements.
 
Thank you for helping us grow through your feedback.","Show more"
"2.0","3 Sept 2023","A place full of Office Politics, Gossip and Old Timey Toxic Culture.","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW79735909.htm","Ux designer","Former employee, more than 3 years","","","Noida","There's a variety of work that one might get exposed to. Will definitely benefit your portfolio and add experience to your skillset. Required to take end-to-end ownership of projects and sometimes entire products (a pro and a con in it's own way)","Horrible team structure - 70-80% are all freshers and rest people who have gone up the ladder in the team. So basically very little to learn from seniors. The seniors in the team are narrow minded since their exposure to work culture and quality is only what they've seen in this team. They align to the process and don't like any change (even if it's for the good) Everybody's scared of their seniors, whether it's freshers or even seniors afraid of their seniors. Every decision needs approval, so basically everything you do you do not because it's the best solution but to impress the senior management. (100% HIPPO effect) Fun fact - they take about 5k from freshers for first salary party. I mean these people are fresh out of college, probably have loans and other personal needs - but no. They have to give first salary to their office family (EVEN if they can't themselves make it to the party)","Show more","https://media.glassdoor.com/sql/337306/info-edge-squareLogo-1671695672516.png","Info Edge Response","11mo","Thank you for sharing your experience at Infoedge. 

We deeply regret that your time with us didn't meet your expectations. Your feedback is invaluable, and we take it seriously. We are committed to creating a positive workplace and would appreciate the chance to learn more about your concerns. 

If you're open to it, please connect with our HR department at kumar.prachi@Naukri.com. We're dedicated to addressing your concerns and using your insights to make meaningful improvements.

Thank you for helping us grow through your feedback.","Show more"
